#{"t_start": 1703847255.033587, "env_id": "ContinuousCartPole-v0"}
r,l,t
34.0,34,0.276977
60.0,60,0.282774
34.0,34,0.468014
40.0,40,0.708713
30.0,30,0.891096
31.0,31,1.079443
32.0,32,1.288666
28.0,28,1.468242
67.0,67,1.871182
39.0,39,2.104624
63.0,63,2.476058
33.0,33,2.677326
71.0,71,3.101104
66.0,66,3.491749
39.0,39,3.737702
27.0,27,3.912133
41.0,41,4.191194
40.0,40,4.437456
30.0,30,4.624709
32.0,32,4.829948
50.0,50,5.141278
30.0,30,5.337825
49.0,49,5.649227
45.0,45,5.944517
36.0,36,6.158259
30.0,30,6.344279
34.0,34,6.541564
27.0,27,6.702102
31.0,31,6.893364
29.0,29,7.068115
61.0,61,7.435505
81.0,81,7.925597
36.0,36,8.151566
41.0,41,8.416385
37.0,37,8.637461
69.0,69,9.062221
48.0,48,9.397066
42.0,42,9.661668
35.0,35,9.902496
43.0,43,10.166009
32.0,32,10.416765
44.0,44,10.713104
92.0,92,11.328799
37.0,37,11.574306
32.0,32,11.799117
46.0,46,12.104856
40.0,40,12.346412
37.0,37,12.573474
39.0,39,12.829319
25.0,25,12.989149
30.0,30,13.168023
61.0,61,13.519762
42.0,42,13.775274
34.0,34,13.979248
30.0,30,14.158254
27.0,27,14.31441
47.0,47,14.599196
106.0,106,15.247061
38.0,38,15.474094
25.0,25,15.628459
56.0,56,15.954489
60.0,60,16.295526
36.0,36,16.509994
33.0,33,16.7118
30.0,30,16.900858
34.0,34,17.104053
48.0,48,17.416913
39.0,39,17.679337
38.0,38,17.922398
47.0,47,18.204833
59.0,59,18.56231
82.0,82,19.062308
42.0,42,19.308741
38.0,38,19.549706
31.0,31,19.737183
34.0,34,19.942808
63.0,63,20.327136
48.0,48,20.62447
31.0,31,20.806864
47.0,47,21.096993
34.0,34,21.299879
38.0,38,21.525818
28.0,28,21.695754
39.0,39,21.937517
35.0,35,22.147411
63.0,63,22.541192
42.0,42,22.816748
47.0,47,23.099407
34.0,34,23.296488
50.0,50,23.600118
40.0,40,23.836978
49.0,49,24.119254
44.0,44,24.380045
103.0,103,24.995997
42.0,42,25.245524
43.0,43,25.51198
59.0,59,25.870821
51.0,51,26.186507
82.0,82,26.690608
32.0,32,26.904818
68.0,68,27.340402
75.0,75,27.82806
98.0,98,28.446484
54.0,54,28.786697
64.0,64,29.183713
64.0,64,29.582898
84.0,84,30.132953
49.0,49,30.457082
43.0,43,30.722648
92.0,92,31.300899
59.0,59,31.690927
63.0,63,32.179606
91.0,91,32.835928
156.0,156,33.835299
87.0,87,34.349354
54.0,54,34.658924
58.0,58,35.004699
48.0,48,35.293967
148.0,148,36.245728
193.0,193,37.482825
120.0,120,38.257459
132.0,132,39.113698
150.0,150,40.107973
93.0,93,40.785254
139.0,139,41.722237
318.0,318,43.66827
282.0,282,45.455262
236.0,236,46.973655
167.0,167,48.059716
159.0,159,49.063358
206.0,206,50.368966
